mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
25	25	199/2	199/2	0.5	7/8	7/8	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
26	26	100	100	1.0	0	0	4/4	2	1	vi2	I(6)	E	I	I	vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
26	26	101	101	2.0	1/4	1/4	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
26	26	103	103	0.5	3/4	3/4	4/4	2	1	I(#4)		E	I	I	I(#4)	I			#4				M	0	0	0, 4, 6		0	0
26	26	207/2	207/2	0.5	7/8	7/8	4/4	2	1	I		E	I	I	I	I							M	0	0	0, 4, 1		0	0
27	27	104	104	1.0	0	0	4/4	2	1	vi2	I(6)	E	I	I	vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
27	27	105	105	3.0	1/4	1/4	4/4	2	1	I]}		E	I	I	I	I						}	M	0	0	0, 4, 1		0	0
28	28	108	108	2.0	0	0	4/4	2	1	bIII.ii{		E	bIII		ii	ii						{	m	0	0	2, -1, 3		2	2
28	28	110	110	1.0	1/2	1/2	4/4	2	1	V7		E	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	111	111	0.5	3/4	3/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
28	28	223/2	223/2	0.5	7/8	7/8	4/4	2	1	I6		E	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
29	29	112	112	0.5	0	0	4/4	2	1	IV		E	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
29	29	225/2	225/2	0.5	1/8	1/8	4/4	2	1	IV6		E	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
