mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
3	3	9	9	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	32		articAccentAbove				
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	33				5		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	34				5		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	35						
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	36						
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	37		articStaccatoAbove				
4	4	13	13	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	38		articAccentAbove				
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	39				6		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	40				6		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	41						
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	42						
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	43		articStaccatoBelow				
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	44		articAccentAbove				
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	45				7		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	46				7		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	47						
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	48						
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	49		articStaccatoAbove				
5	5	17	17	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	50		articAccentAbove				
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	51				8		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	52				8		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	53						
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	54						
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	55		articStaccatoAbove				
5	5	17	17	2.0	1/4	1/4	Chord	4/4	2	1	1/2		1/2	1	56		articAccentAbove				
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	57				9		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	58				9		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	59						
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	60						
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	61		articStaccatoAbove				
6	6	21	21	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	62		articAccentAbove				
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	63				10		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	64				10		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	65						
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	66						
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	67		articStaccatoAbove				
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	68		articAccentAbove				
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	69				11		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	70				11		
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	71						
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	72						
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	73		articStaccatoAbove				
7	7	25	25	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	74		articAccentAbove				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	75				12		
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	76				12		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	77						
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	78						
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	79		articStaccatoAbove				
7	7	25	25	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	80		articAccentAbove				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	81				13		
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	82				13		
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	83						
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	84						
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	85				14		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	86						
8	8	30	30	0.0	1/2	1/2	Spanner	4/4	1	1	0									0	
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	87				15	0	
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	88				15	0	
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	89				15	0	
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	90					0	
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	91					0	
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	92					0	
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	93					0	
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	94						
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	95				16		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	96						
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	97				17		
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	98				17		
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	99				17		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	100						
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	101						
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	102						
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	103						
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>espress."			
9	9	32	32	0.0	0	0	Spanner	4/4	1	1	0										
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	104				18		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	105				18		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	106						
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	107						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	108				19		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	109						
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	110				20		
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	111				20		
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	112				20		
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	113				20		
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	114				20		
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	115				20		
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	116						
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	117				21		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	118				21		
10	10	37	37	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	119						
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	120				22		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	121						
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	122				23		
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	123				23		
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	124				23		
10	10	38	38	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	125				23		
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	126				23		
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	127				23		
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	128						
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	129				24		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	130				24		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	131						
11	11	42	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	132						
11	11	43	43	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	133				25		
11	11	130/3	130/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	134				25		
11	11	131/3	131/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	135						
11	11	40	40	0.0	0	0	Spanner	4/4	2	1	0										0
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	136				26		0
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	137				26		0
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	138				26		0
11	11	42	42	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	139				26		0
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	140				26		0
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	141				26		0
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	142						0
11	11	43	43	0.0	3/4	3/4	Spanner	4/4	2	1	0										
12	12	44	44	0.0	0	0	Spanner	4/4	1	1	0									1	
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	143				27	1	
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	144					1	
12	12	45	45	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	145				28	1	
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	146					1	
12	12	46	46	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	147				29	1	
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	148					1	
12	12	47	47	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	149				30	1	
12	12	95/2	95/2	0.0	7/8	7/8	Spanner	4/4	1	1	0										
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	150						
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	151						
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	152						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	153						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	154						
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	155						
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	156						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	157						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	158						
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	159				31		
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	160				31		
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	161						
13	13	50	50	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	162						
13	13	51	51	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	163				32		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	164						
13	13	197/4	197/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	165				33		
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	166				33		
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	167				33		
13	13	50	50	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	168				33		
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	169				33		
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	170				33		
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	171						
14	14	52	52	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	172				34		
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	173				34		
14	14	53	53	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	174						
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	175				35		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	176						
14	14	213/4	213/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	177				36		
14	14	107/2	107/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	178				36		
14	14	215/4	215/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	179				36		
14	14	54	54	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	180				36		
14	14	217/4	217/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	181				36		
14	14	109/2	109/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	182				36		
14	14	219/4	219/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	183						
15	15	56	56	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	184				37		
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	185				37		
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	186						
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	187						
15	15	59	59	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	188				38		
15	15	178/3	178/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	189				38		
15	15	179/3	179/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	190						
15	15	229/4	229/4	0.0	5/16	5/16	Spanner	4/4	2	1	0										1
15	15	229/4	229/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	191				39		1
15	15	115/2	115/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	192				39		1
15	15	231/4	231/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	193				39		1
15	15	58	58	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	194				39		1
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	195				39		1
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	196				39		1
15	15	235/4	235/4	0.0	11/16	11/16	Spanner	4/4	2	1	0										
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	197						
16	16	60	60	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	198				40		
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	199						
16	16	61	61	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	200				41		
16	16	184/3	184/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	201				41		
16	16	185/3	185/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	202						
16	16	62	62	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	203				42		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	204						
16	16	63	63	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	205				43		
16	16	190/3	190/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	1	1/12		1/8	2/3	206				43		
16	16	191/3	191/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	1	1/12		1/8	2/3	207						
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	208						
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	209						
16	16	60	60	0.0	0	0	Spanner	4/4	2	1	0									2	
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	210					2	
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	211					2	
16	16	63	63	0.0	3/4	3/4	Spanner	4/4	2	1	0										
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	212				44		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	213						
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	214				45		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	215						
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	216				46		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	217						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	218				47		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	219						
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	220						
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	221						
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	222						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	223						
17	17	64	64	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""11.2544""/><font face=""Plantin MT Std""/>cresc."			
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	224				48		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	225						
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	226				49		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	227						
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	228				50		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	229						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	230				51		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	231						
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	232						
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	233						
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	234						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	235						
18	18	68	68	0.0	0	0	Dynamic	4/4	1	1	0					f					
18	18	68	68	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	236				52		
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	237						
18	18	69	69	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	238		articAccentBelow				
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	239						
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	240						
18	18	208/3	208/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	241				53		
18	18	209/3	209/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	242				53		
18	18	70	70	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	243						
18	18	211/3	211/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	244				54		
18	18	212/3	212/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	245				54		
18	18	71	71	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	246						
18	18	214/3	214/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	247				55		
18	18	215/3	215/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	248				55		
19	19	72	72	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	249				56		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	250						
19	19	73	73	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	251		articAccentAbove				
19	19	75	75	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	252						
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	253						
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	254						
19	19	220/3	220/3	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	255				57		
19	19	221/3	221/3	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	256				57		
19	19	74	74	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	257						
19	19	223/3	223/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	258				58		
19	19	224/3	224/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	259				58		
19	19	75	75	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	260						
19	19	226/3	226/3	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	261				59		
19	19	227/3	227/3	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	262				59		
20	20	76	76	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	263				60		
